Iteration:,AeroBalance Mean Monitor: Statistics of Aerodynamic Balance Monitor,Mean HE-Massflow Monitor: Statistics of HE-Massflow Monitor (kg/s)
113,0.436135758570195,0.242438250019998
114,0.436178428138103,0.242222913793823
115,0.436215368069947,0.242014350069453
116,0.436248658574649,0.241812222873008
117,0.436278360088537,0.241616208749784
118,0.436303284389489,0.241426183691958
119,0.436325258146767,0.241242037984939
120,0.436344551994155,0.241063710659266
121,0.436361496592534,0.240891205925384
122,0.436375605206494,0.240725011326725
123,0.436388407703207,0.240565379843886
124,0.436400388896211,0.240412803254986
125,0.43641254316374,0.240267690934964
126,0.436425327560206,0.240130199016146
127,0.436439981346404,0.24000049941619
128,0.436456396837718,0.239878630095321
129,0.436476240471896,0.239764445320184
130,0.436498556223436,0.239657608408138
131,0.43652524122204,0.23955749972282
132,0.436554868424542,0.239463670168126
133,0.436589337537009,0.239375338577507
134,0.436626939570462,0.239292019749001
135,0.43666926407345,0.239212839699076
136,0.436715814755887,0.239137286605866
137,0.436764951882592,0.239064963844238
138,0.436818418065357,0.238995259589303
139,0.436875299578122,0.23892788168346
140,0.436935304424755,0.238862575500473
141,0.436997978076341,0.238799161091531
142,0.437062899865321,0.238737491967035
143,0.437129746187712,0.238677519432012
144,0.437198458251963,0.238619065843253
145,0.437268977502565,0.238562060768986
146,0.437341236562492,0.238506495735935
147,0.437415236911331,0.238452380700896
148,0.437490663845025,0.238399770901661
149,0.437567397749321,0.238348799755513
150,0.437645252934751,0.23829961859191
151,0.437723992795554,0.238252353505951
152,0.437803223835154,0.23820709786136
153,0.437882633661902,0.238163968344354
154,0.43796183058697,0.238123034424618
155,0.438040509341291,0.238084330386988
156,0.438118249319568,0.238047887121907
157,0.438194747110544,0.238013686726699
158,0.438269870203158,0.237981650932502
159,0.438343440432965,0.23795165882687
160,0.438415234392816,0.237923497157155
161,0.438485158126495,0.23789696887997
162,0.43855333561465,0.237871896066404
163,0.43861973714798,0.23784814124203
164,0.438684566248386,0.23782558813778
165,0.438747931690901,0.237804198628731
166,0.438809958182482,0.237783949914866
167,0.438870919593579,0.237764832213055
168,0.438930891411943,0.23774689625693
169,0.438990225867507,0.237730175356055
170,0.439049104337727,0.237714734418583
171,0.439107750560985,0.237700619160764
172,0.43916644778655,0.237687878997773
173,0.439225453252014,0.237676531208355
