"Iteration: Iteration","D B Mean Monitor: Statistics of D B Monitor (N)","D D Mean Monitor: Statistics of D D Monitor (N)","D FW Mean Monitor: Statistics of D FW Monitor (N)","D RW Mean Monitor: Statistics of D RW Monitor (N)","D S Mean Monitor: Statistics of D S Monitor (N)","D SU Mean Monitor: Statistics of D SU Monitor (N)","D Wheels Front Mean Monitor: Statistics of D Wheels Front Monitor (N)","D Wheels Rear Mean Monitor: Statistics of D Wheels Rear Monitor (N)","Mean D Monitor: Statistics of Drag Monitor (N)"
66,62.5374502349331,8.56861152076771,17.169542146067,55.2780966618283,34.213943191315,8.48037132650053,15.922252781277,12.9704403522305,215.140708214919
67,62.0616293176774,8.47784822384747,17.0479019543063,54.9706922889097,33.890025619515,8.3875853293231,15.7427525446629,12.8267525462027,213.405187824445
68,61.5988188204715,8.38881140382303,16.9311369916922,54.6711950188274,33.574586751393,8.29783688177294,15.5669949759364,12.6870380663516,211.716418910268
69,61.1476502996384,8.30129341904319,16.8191354426082,54.3793688107591,33.266909177778,8.21071755483675,15.3949249117956,12.5509675438997,210.070967160359
70,60.7065409114464,8.2151854693178,16.7117476815299,54.0947919646722,32.9662570840982,8.12575974562577,15.2266881699971,12.4181599567638,208.465130983451
71,60.2747603389146,8.1304738564645,16.6088420536651,53.8173436392202,32.6721415809587,8.0426931157993,15.0624414579659,12.2882876939767,206.896983736965
72,59.8516899310779,8.04721148609752,16.5102057215585,53.5468330305499,32.3838441030404,7.96122572603118,14.9021808630043,12.161269344202,205.364460205562
73,59.437212791542,7.96538360996176,16.4155534277303,53.283092927229,32.1009062966302,7.88112642350229,14.745925117547,12.0369332169693,203.866133811112
74,59.0307599821343,7.88509885885127,16.3245261936544,53.0260496782858,31.822940393829,7.80227176383224,14.59377493053,11.9152330323984,202.400654833515
75,58.6318441487778,7.80653546424807,16.236718867229,52.77554606535,31.5498186433584,7.72471876362737,14.4457998950553,11.7962121932703,200.967194040916
76,58.2403988588324,7.72989336316889,16.1517520584492,52.5314491446532,31.2818144537146,7.64853376474783,14.3020465109383,11.6801417455218,199.566029900026
77,57.8565062340797,7.65519912068949,16.0693103307917,52.2934580576504,31.019081331438,7.5737980054249,14.1625387923019,11.5672168335973,198.197108705973
78,57.4797422503168,7.58267091230292,15.9890108249942,52.0613369944977,30.7615831582574,7.50064711564326,14.0274725537151,11.4577379784815,196.860201788209
79,57.110096875231,7.51232280884353,15.9105506656271,51.8348532427948,30.50940630661,7.42928482702622,13.8967327260494,11.351804802322,195.555052254504
80,56.7472702160057,7.44416934512459,15.8336654972159,51.6138638862538,30.2627622148404,7.35986106158826,13.7701255862371,11.2493882190179,194.281106026284
81,56.3907788575831,7.37809981905481,15.7582110635255,51.3981145263017,30.0211772601603,7.29243216041695,13.6474659332398,11.1504578039908,193.036737424273
82,56.0403576964323,7.31408660505081,15.6840822551925,51.1875470384419,29.7846498869209,7.22697187464148,13.5286022651419,11.054786897194,191.821084519016
83,55.6958107842097,7.25204312252454,15.6112468470666,50.982049860936,29.5527703320259,7.16342433766557,13.4133891660937,10.962286428636,190.633020879158
84,55.3572492329535,7.19190209535002,15.539686455412,50.781647962387,29.3252611890208,7.10166724672798,13.3016185278417,10.8727865961942,189.471819305887
85,55.0244929200954,7.13355429555751,15.469417612956,50.5863267437807,29.1019180444116,7.04151801379127,13.1930590765243,10.7861262587156,188.336412965832
86,54.6974542707182,7.07690884801218,15.4004173790498,50.3962640976449,28.8822272326904,6.98283262379342,13.0875074661064,10.702174537928,187.225786455943
87,54.3758411532662,7.0217518208112,15.3327738897635,50.2114241317348,28.6658500496415,6.92531054545103,12.9847951647035,10.6206915138611,186.138438269233
88,54.0596119155987,6.96785074362047,15.2665142462992,50.0318239388954,28.4524947536895,6.86880566313078,12.8847542969614,10.5414226314178,185.073278189613
89,53.7486503270772,6.9149349395624,15.2016742954232,49.8573467239109,28.2418347646289,6.81312322082028,12.7872130934702,10.4640900392059,184.028867404099
90,53.4428624432347,6.86282947939962,15.1383044652046,49.6878782256523,28.0337872055278,6.75816425169121,12.6919901460349,10.3883312991306,183.004147515876
91,53.1422549750917,6.81138810022298,15.0764407462085,49.5233061086287,27.8282037482691,6.70380958014543,12.5988578686678,10.3137732677802,181.998034395014
92,52.8466545845415,6.76052262974234,15.0160687182638,49.3634235206613,27.6249943018856,6.65009551680382,12.5075445821454,10.2399416029928,181.009245457037
93,52.5559533038326,6.7102097966476,14.9572090865116,49.2080655896858,27.4243686047526,6.5970620472637,12.4177768382781,10.1665394292423,180.037184696214
94,52.2699880517565,6.66047817958271,14.8998488798728,49.0570534293305,27.2266174601505,6.54478498582189,12.329273153674,10.0934291572156,179.081473297405
95,51.9889972001938,6.61132045025561,14.8439617012093,48.9101819727847,27.0320734435784,6.49342972396893,12.2417793307544,10.020241117013,178.141984939758
96,51.7132982434494,6.56271766696403,14.7895474680922,48.767156335234,26.8410722740531,6.44315238350908,12.1551261283632,9.94694661349082,177.219017113156
97,51.4432813018429,6.51473705773381,14.7365652173296,48.6276993762702,26.6539120360141,6.3940993918812,12.069150372845,9.8733880869713,176.312832840888
98,51.1795666475033,6.4673924194184,14.6849724572672,48.4915664978919,26.4707928153196,6.34632167651925,11.9838463854486,9.79963079522877,175.424089694597
99,50.9224405397093,6.42069524763646,14.63466480015,48.3586012524119,26.2918396370539,6.29989261375455,11.8993262822214,9.72580899656482,174.553269369502
100,50.6720852233029,6.3747075142694,14.5855674329779,48.2284919966745,26.1169755160771,6.25483259534597,11.8157232325042,9.65210785177124,173.700491362923
101,50.4285011196752,6.3294754080278,14.5375770946927,48.1010623546285,25.946090631234,6.21107330719255,11.7331963564998,9.57884488706905,172.86582115902
102,50.1917541224637,6.28509224271126,14.4906104383059,47.9761310856083,25.7791441919222,6.16858814133787,11.6518962614085,9.50622714339509,172.049443627153
103,49.9615033080858,6.24172481450803,14.4445606691573,47.8535578963572,25.6160968910633,6.1272690093436,11.5720306852274,9.43468303455303,171.251426308296
104,49.7374438015422,6.19952715131642,14.3993441511684,47.733325889155,25.4568021340155,6.08708277243238,11.493761351297,9.36446329828616,170.471750549213
105,49.51928807395,6.15866337900678,14.354883267632,47.6154719382613,25.3010892768834,6.04800134363998,11.4172512478496,9.29576499818925,169.710413525412
106,49.3066590003778,6.11939222558338,14.311122973883,47.4999825469526,25.1487504717745,6.01002089482552,11.3425966683181,9.22875778045742,168.967282562172
107,49.0991265998403,6.08190077460003,14.268030647587,47.3869363418522,24.9997106174323,5.97313043213188,11.2698836150887,9.16362063949582,168.242339668028
108,48.8963104417754,6.04626828874322,14.2255748472586,47.2763240549967,24.8538748317381,5.93728821658498,11.199080468174,9.10046581671208,167.535186965983
109,48.6980914053942,6.01310976936309,14.1836625235427,47.1682862922785,24.7113776814271,5.90252668103583,11.1303979765009,9.03965274380963,166.847105073352
110,48.5039410884388,5.98166296218576,14.1423737675312,47.0625913966461,24.5719526919219,5.86859653496782,11.063467449052,8.98070443158613,166.17529032233
111,48.3137063563108,5.9519450403918,14.1016997766736,46.9592647788304,24.435562080628,5.83544751181038,10.998240800734,8.92372798955869,165.519594334938
112,48.1272060347624,5.924451821376,14.0616140993493,46.8583848418246,24.3023753902411,5.80294544134772,10.9347321123314,8.86898040517379,164.880690146406
113,47.9441295866193,5.8984642267297,14.0221900899334,46.7596444687612,24.1719313993328,5.77092432927624,10.8726337618669,8.81593979727551,164.255857659795
114,47.764348015227,5.87405606119158,13.9834434832803,46.6629711807384,24.0440893231488,5.7393175984821,10.8118404125644,8.76455192826218,163.644618002895
115,47.5876534760737,5.8515416141638,13.9453848078394,46.568359012136,23.918787358358,5.70793723463247,10.752210112521,8.71482788332836,163.046701499053
116,47.4137725175339,5.83028782509899,13.9080177704065,46.4756115463279,23.7956980084121,5.67681932997389,10.6935723698527,8.66635917144786,162.460138539054
117,47.2424551032362,5.81034850497346,13.8713319165822,46.3846521961198,23.6746836871208,5.64593220513728,10.6357968123695,8.61898029701949,161.884180722559
118,47.0731214726148,5.79211743920041,13.8353248884964,46.2955126608935,23.5555290294672,5.61521428094153,10.5785805762569,8.57256620438971,161.317966552261
119,46.9059123558112,5.77505456776614,13.7999554655632,46.2080511473967,23.4381575818052,5.58481925131886,10.5219885716949,8.52692797813891,160.760866919495
120,46.7406637594127,5.75912778937814,13.7652063009919,46.1222348519197,23.3225599300464,5.55478719972714,10.4659413981909,8.48184279177006,160.212364021437
121,46.5772438073553,5.7443619222669,13.7310524496946,46.0380529422635,23.2086530680096,5.525165190288,10.4103374675003,8.43716942940699,159.672036276785
122,46.4150922078499,5.73105635997212,13.6975009890756,45.9555751288512,23.0962097533542,5.49595394389987,10.3549242220464,8.39266871115512,159.138981316204
123,46.2547973742634,5.71867936323071,13.6645128551143,45.8746278730675,22.9853333413852,5.46719722868921,10.2999281432718,8.34849416015147,158.613570339174
124,46.0962029455091,5.70719544073931,13.6320708163051,45.7951576695964,22.8760291167701,5.43890922110749,10.2453664804062,8.30457057219412,158.095502262628
125,45.9388495035501,5.69671501724411,13.6001984721947,45.7171336681554,22.7682663799834,5.4112113463407,10.1909286029091,8.26074575413129,157.584048744509
126,45.7832273007222,5.68681857200424,13.56887409017,45.6404148119627,22.6620977420815,5.38403637398902,10.1369006355919,8.21722836820134,157.079597894723
127,45.6290676015066,5.67748938286473,13.5381226144798,45.5649170384955,22.5575268198716,5.35751451565127,10.0831482721528,8.1739414575668,156.581727702589
128,45.4767913094579,5.66849723022881,13.5079113362062,45.4905478954109,22.4545669758974,5.33156919867624,10.0299320344637,8.13105937071733,156.090875351058
129,45.3260410813514,5.65981625665197,13.4782904604441,45.4171671153685,22.3532612268643,5.30626890514743,9.97729252216989,8.0885665217196,155.606704089717
130,45.1771141618685,5.65130727977926,13.4491997905309,45.3447589539857,22.253584294047,5.28149960353362,9.92542716109365,8.04658041091168,155.12947165575
131,45.0297932662076,5.64287668755555,13.4206940967377,45.2732249246526,22.1555971393616,5.25731418180507,9.87456110169006,8.00517601769591,154.659237415706
132,44.8843530178212,5.6344930955118,13.39270570501,45.2026295933657,22.0591581270951,5.23362969439463,9.82470123384258,7.96441386654557,154.196084333587
133,44.7406855684755,5.62603122506889,13.3652680123476,45.1328651133759,21.9641411790793,5.21044503315181,9.77615940363593,7.92440284202372,153.739998377159
134,44.5989454318478,5.61749074299542,13.3383063945273,45.0640119755109,21.8705179363541,5.18772189596415,9.72874125279531,7.88510906201035,153.290844692005
135,44.4591329242784,5.60875369604264,13.3118218395451,44.9960204420217,21.7780564275302,5.16549656024191,9.68270133225984,7.8466687206844,152.848651942604
136,44.3212640903795,5.59976939450593,13.2857699755006,44.9289281602034,21.6866162391203,5.14372065090363,9.63798192152439,7.80905573454589,152.413106166684
137,44.1854184243845,5.59063969278108,13.2601232573761,44.8627785085874,21.5961927535814,5.12238302469303,9.59432331568869,7.77220027747258,151.984059254565
138,44.0516619081173,5.58116829550893,13.2348690226458,44.7975276430073,21.5065013166625,5.10157532465973,9.55189842788021,7.73625076610307,151.561452704585
139,43.9199578292253,5.57139043183727,13.2099992901154,44.7331995677134,21.4174508550785,5.08129519424086,9.51057115001336,7.70118556825591,151.14504988648
140,43.7902926649224,5.56131679161074,13.1855182839987,44.6697956578622,21.3289753093735,5.06158478465742,9.47018090734384,7.66695416099249,150.734618560761
141,43.6626372514776,5.55098989855329,13.1614289506996,44.6073275449126,21.2411211755735,5.04249776899656,9.43058898796852,7.63348471831568,150.330076296497
142,43.536974228637,5.54043996887859,13.1377497015771,44.5457749704943,21.1539131445725,5.02404720931399,9.39167614177126,7.60070916204371,149.931284527288
143,43.413271063929,5.52973318097912,13.114484706021,44.4851136669236,21.0673326909463,5.00625032803714,9.35329062448985,7.56851977486206,149.537996036188
144,43.2914056059678,5.51890223727471,13.0916556775855,44.4253000397857,20.9815459764592,4.98907354437595,9.31532410396905,7.5367895832963,149.149996768714
145,43.1713222829712,5.50798468214234,13.069261478404,44.3662997731929,20.8965425589046,4.97245577696079,9.27764963769217,7.50541349854536,148.766929688813
146,43.05297498689,5.49699771364634,13.0473160923844,44.30810062426,20.8123592319731,4.95633734025145,9.2401426755984,7.47431678988555,148.388545454889
147,42.9363275996413,5.4859627037477,13.0258163442706,44.2506525327973,20.7290318249004,4.94061676710322,9.20273446164014,7.44340125948965,148.01454349359
148,42.8213645916749,5.47489973249636,13.0047426321142,44.1939323662189,20.6466228479858,4.92518911319235,9.16538044835718,7.41264657974999,147.64477831179
149,42.708054020248,5.46383198804443,12.9840649150499,44.1378849162374,20.5651456803127,4.90993966408961,9.12805955314418,7.38204839936644,147.279029136493
150,42.5963250318673,5.45280424374571,12.9637608247428,44.0824673798349,20.4846482569119,4.89478448195822,9.09077360728782,7.35166671128124,146.91723053763
151,42.4861420563918,5.44185419208976,12.9437986651948,44.0276474791471,20.4051641667018,4.87965654548399,9.05353018808769,7.3215488587687,146.559342151866
152,42.3775042408859,5.43102567335743,12.9241497312473,43.9734110673257,20.3267018570458,4.86452166240877,9.01635668441272,7.29178316344454,146.205454080128
153,42.270418710629,5.42035461702305,12.9047920709872,43.9197339786507,20.2492199976723,4.84937001835294,8.97932962438346,7.26245296673728,145.855671984436
154,42.164848686852,5.40987910096529,12.8856920001692,43.8666256086537,20.1726466260663,4.83423285674799,8.94252580297814,7.23363568936054,145.510086371793
155,42.0607731227106,5.39961050627291,12.8668142900242,43.8140926791792,20.0969695320297,4.81915964171853,8.9060561153188,7.20537668615394,145.168852573408
156,41.9581271405831,5.38958344048201,12.8481278426239,43.7621920096081,20.0220679620869,4.80419989191454,8.87004989630782,7.17769644987635,144.832044633483
157,41.8569142624773,5.37979077772703,12.829603258774,43.7109569671492,19.9478947943603,4.78942839451669,8.83462827192612,7.15061980746412,144.499836534395
158,41.7570871592918,5.37026484414807,12.8112268054342,43.6604069960278,19.8743764125989,4.7749059298665,8.79988879848216,7.12419017022981,144.172347116079
159,41.6586293001603,5.36099122311048,12.7929830670052,43.6105967028907,19.8015084798443,4.76069222522577,8.76591378594278,7.09838851082701,143.849703295006
160,41.5615019056649,5.35198003740318,12.7748655235893,43.5615498790981,19.7293180293904,4.74681907165845,8.73276243061553,7.07317892326931,143.531975800689
161,41.4656607269643,5.34323079424215,12.7568743113229,43.5132626358922,19.6577401490289,4.73333287550126,8.70046724826654,7.04852293640861,143.219091677627
162,41.371068081793,5.33473312264206,12.7390317007812,43.4657317797914,19.5867482024603,4.72026204713345,8.66897789160956,7.02442626544017,142.910979091651
163,41.2777979909488,5.32647130661713,12.7213527223011,43.4189573233178,19.5163752954633,4.707616729168,8.63823012208477,7.00087493746255,142.607676427363
164,41.1858460757288,5.31844061711093,12.7038684041731,43.3729111439288,19.4466412556059,4.69538576488044,8.6081235038973,6.97784986498975,142.309066630315
165,41.0952261677307,5.31062956184598,12.6866028710582,43.3275553995193,19.3775823458258,4.68353547655196,8.57857049548951,6.95529306661048,142.014995384632
166,41.0059838418255,5.30303602645264,12.6695790327276,43.282853642662,19.3092651460724,4.67201251492363,8.54948525438593,6.93316970430203,141.725385163352
167,40.9181388478844,5.29564576725726,12.6528209198225,43.2386981925874,19.2417716632173,4.66074203758352,8.5207525744901,6.91144931364655,141.440019316489
