"Iteration: Iteration","DF B Mean Monitor: Statistics of DF B Monitor (N)","DF D Mean Monitor: Statistics of DF D Monitor (N)","DF FW Mean Monitor: Statistics of DF FW Monitor (N)","DF RW Mean Monitor: Statistics of DF RW Monitor (N)","DF S Mean Monitor: Statistics of DF S Monitor (N)","DF SU Monitor: Force (N)","DF Wheels Front Mean Monitor: Statistics of DF Wheels Front Monitor (N)","DF Wheels Rear Mean Monitor: Statistics of DF Wheels Rear Monitor (N)","Mean DF Monitor: Statistics of Downforce Monitor (N)"
61,7.32291077712926,60.7587615295094,77.3401334266712,127.171944720823,85.3675302094574,-0.865334965371098,-4.57342470257178,-3.37743164151788,349.651488578933
62,7.1822309419188,60.2569628205405,77.3666295753258,126.875657420472,85.1809337358136,-0.758690646940036,-4.58408732023297,-3.37905681248674,348.533886961003
63,7.03711163016558,59.78088875146,77.3928758305501,126.584122221302,84.9918548917656,-0.661500003037234,-4.59508543384734,-3.37973835021727,347.441945877296
64,6.88972465024068,59.3284539014956,77.4196791885218,126.297338421873,84.8002401303165,-0.584113922936355,-4.60609906772005,-3.37975269477179,346.376156643275
65,6.7413375646287,58.8973036276429,77.4477557502458,126.01472656015,84.6061039957853,-0.532283533404272,-4.61673962164609,-3.37929307610137,345.335322980998
66,6.59229215954276,58.4850860540956,77.4776016180371,125.735746895217,84.4082841296712,-0.507007421006919,-4.62663947858877,-3.37851926053679,344.315993394681
67,6.44396929910831,58.0892556922874,77.5096306917843,125.460431390782,84.2072781801271,-0.51461936919357,-4.63536569989381,-3.37788184041103,343.317417787349
68,6.29660123089265,57.7072661183297,77.5442473161735,125.188606244895,84.0031916103565,-0.552908811181572,-4.6427477889267,-3.37757117538342,342.337149381598
69,6.15014754613731,57.337813265227,77.581742667452,124.92052340694,83.7958597149317,-0.615151222117277,-4.64857320650324,-3.37781386997697,341.373882783564
70,6.00507793804651,56.9788612442178,77.6223064957568,124.656017144235,83.5863247260711,-0.694732153970406,-4.65268862235176,-3.37868377214333,340.426985335855
71,5.86223340366048,56.6290410900942,77.666043489984,124.395648498244,83.3752826539579,-0.787204532022922,-4.65516642323489,-3.38019770377726,339.497063997796
72,5.72251699199195,56.2872754808781,77.7128626146237,124.139790673671,83.1623396127859,-0.888991874384298,-4.65581011204995,-3.38245510007994,338.583849555364
73,5.58700882868537,55.9531319683454,77.7626443734275,123.888836360118,82.9475282433332,-0.983334337434686,-4.6548016729964,-3.38544495436187,337.688278242411
74,5.45703017069492,55.6262151814626,77.8148859873397,123.643216526247,82.7307439027049,-1.05792487766005,-4.65231461742446,-3.38906813172865,336.811336818216
75,5.33307558155484,55.3068363320806,77.8692332456817,123.402907255205,82.5110862509817,-1.10915197148597,-4.64862781432226,-3.39313920935004,335.952802377147
76,5.21629292306667,54.9954761997897,77.9253062082842,123.167815096794,82.2892628430958,-1.12649812551341,-4.64396963589448,-3.39760042950054,335.114830666466
77,5.10658103075745,54.6920866708849,77.9828082906945,122.937455886451,82.0643500428591,-1.10002383688817,-4.63880123940491,-3.40225368231408,334.295873534813
78,5.00346175641851,54.3969435709178,78.0411370798372,122.711278965836,81.8359619785202,-1.03528791336267,-4.63338693217947,-3.40689469480348,333.494597817789
79,4.9060858175799,54.1099194606974,78.099916698143,122.489112058751,81.6037616440657,-0.934852355335735,-4.62795873643002,-3.41140648305429,332.709438597948
80,4.81333873773641,53.8318682784259,78.1587513142084,122.270739484204,81.3680232521968,-0.810617114362897,-4.62257708705869,-3.41576921227377,331.940000089978
81,4.72379074951755,53.5616686795554,78.2175286867247,122.055891503156,81.1278531022768,-0.677109518588011,-4.61719618948872,-3.42001275733633,331.182522740882
82,4.63603307272463,53.2991498457709,78.2761130326174,121.844546298412,80.8833235864259,-0.543997091935615,-4.61171196753069,-3.4239990159122,330.435514842662
83,4.54916530556225,53.0442098840519,78.3345479199786,121.636657053539,80.6346303841859,-0.428548561502483,-4.60595681546238,-3.42769929911307,329.698089018659
84,4.46285597609615,52.7962703176822,78.3927772320503,121.432290997988,80.38173717658,-0.333144592513722,-4.59976435078053,-3.4311174654497,328.969183527483
85,4.37680676594235,52.5546959371197,78.4507846098879,121.231461613086,80.1253687277568,-0.267009275075338,-4.59298805022133,-3.43418159272269,328.248421149243
86,4.29175544845604,52.3196006885357,78.5085428961024,121.034221708425,79.8649330096692,-0.230700073995775,-4.58555317843123,-3.43692854224849,327.535752457131
87,4.20775850170084,52.0899092356798,78.5662136057015,120.840476197012,79.6002999490464,-0.219177331520171,-4.57740682134738,-3.43936300367132,326.829845587777
88,4.12522255890711,51.8654651776531,78.6237489683555,120.650072566193,79.3317309793638,-0.232805410252231,-4.56861413939176,-3.4413672690301,326.130776273275
89,4.04513946872996,51.6456800571796,78.6811474518716,120.462895776368,79.0595943258075,-0.262978544052844,-4.55925116128488,-3.4428967055191,325.438989610947
90,3.96787361122416,51.4300585031606,78.7383934487593,120.278770782401,78.7844648248281,-0.308695307260353,-4.54930484413545,-3.44393593975984,324.754607720883
91,3.89465103688641,51.2183076555939,78.7955126381764,120.097844764351,78.5072910714063,-0.3630257990082,-4.53888199129041,-3.4444946280207,324.079492462459
92,3.82511291534901,51.00989571227,78.8523995152674,119.920067922675,78.2278384043692,-0.429855686169378,-4.52801926770664,-3.44447675818927,323.412307341983
